site,address,hours,cleaning_frequency,operated_by,
Balboa Park - War Memorial Building,"3325 Zoo Drive, 92101",Business Hours,2x/day,City of San Diego,
Balboa Park Golf Clubhouse,"2600 Golf Course Dr., 92102",Clubhouse Hours,Daily,City of San Diego,
Bay Terraces Comfort Station,"7373 Tooma St., 92139",24 hrs.,Daily,City of San Diego,
Cadman Recreation Center,"4280 Avati Drive, 92117",Rec. Center Hours,Daily,City of San Diego,
Bay Terraces Community and Senior Center,"7373 Tooma St., 92139",Community Ctr Hours,Daily,City of San Diego,
Bill Cleator Comfort Station,"4412 Nimitz Blvd., 92107",7:00am - Dusk,Daily,City of San Diego,
Canyonside Comfort Station,"12350 Black Mountain Road, 92129",7:00am - 8:00pm,Daily,City of San Diego,
Canyonside Recreation Center,"12350 Black Mountain Road, 92129",Rec. Center Hours,Daily,City of San Diego,
Black Mountain/Los Peñasquitos Canyon Park Ranger Station,12005 Black Mountain Rd,Ranger Station Hours,Daily,City of San Diego,
Breen Comfort Station,"11103 Polaris Drive, 92126",24 hrs.,Daily,City of San Diego,
Cabrillo Heights Comfort Station #1,"8308 Hurlbut Street, 92123",24 hrs.,Daily,City of San Diego,
Cabrillo Heights Comfort Station #2,"8308 Hurlbut Street, 92123",24 hrs.,Daily,City of San Diego,
Cabrillo Heights Comfort Station #3,"8308 Hurlbut Street, 92123",24 hrs.,Daily,City of San Diego,
Cherokee Point Comfort Station,"3901 Landis St. , 92105",24 hrs.,Daily,City of San Diego,
Camino Ruiz Comfort Station,"11498 Camino Ruiz, 92126",24 hrs.,Daily,City of San Diego,
City Heights Recreation Center,"4380 Landis St., 92105",Rec. Center Hours,Daily,City of San Diego,
City Heights Swim Center Pool,"4380 Landis St., 92105",Aquatic Center Hours,Daily,City of San Diego,
Capehart Dog Off-Leash Area Portable Restroom,"4700 Soledad Mountain Road, 92109",24 hrs.,Daily,City of San Diego,
Clairemont Pool,"3605 Clairemont Dr., 92117",Aquatic Center Hours,Daily,City of San Diego,
Carmel Mountain Ranch-Sabre Springs Comfort Station,"10166 Rancho Carmel Dr., 92128",24 hrs.,Daily,City of San Diego,
Carmel Mountain Recreation Center,"10166 Rancho Carmel Dr., 92128",Rec. Center Hours,Daily,City of San Diego,
Cypress Canyon Comfort Station,"11470 Cypress Canyon Rd., 92131",24 hrs.,Daily,City of San Diego,
Carmel Valley Comfort Station,"3751 Townsgate Dr., 92130",24 hrs.,Daily,City of San Diego,
Carmel Valley Pool,"3777 Townsgate Dr., 92130",Aquatic Center Hours,Daily,City of San Diego,
Carmel Valley Recreation Center,"3751 Townsgate Dr., 92130",Rec. Center Hours,Daily,City of San Diego,
Carmel Valley Skate Park,"12600 El Camino Real, 92130",Skate Park Hours,Daily,City of San Diego,
Cesar Chavez Community Center at Larsen Field,"455 Sycamore Rd., 92173",Rec. Center Hours,Daily,City of San Diego,
Cesar Solis Comfort Station,"4901 Del Sol Blvd., 92154",24 hrs.,Daily,City of San Diego,
Charles Lewis III Memorial Comfort Station,"4632 Home Ave., 92105",24 hrs.,Daily,City of San Diego,
Gompers Comfort Station,"4926 Hilltop Dr., 92102",24 hrs.,Daily,City of San Diego,
Chicano Park Comfort Station,1986 Logan,24 hrs.,2x/day,City of San Diego,
Hawk Comfort Station,"4990 Guymon St., 92102",24 hrs.,Daily,City of San Diego,
Cliffridge Comfort Station,"8301 Cliffridge Dr., 92037",24 hrs.,Daily,City of San Diego,
Hourglass Comfort Station,"9490 Gold Coast Dr., 92126",24 hrs.,Daily,City of San Diego,
Hourglass Pool,"10440 Black Mtn. Rd., 92126",Aquatic Center Hours,Daily,City of San Diego,
Dana Middle School Comfort Station,"1775 Chatsworth Blvd., 92106",Joint Use Hours,Daily,City of San Diego,
De Portola Middle School Comfort Station,"11010 Clairemont Mesa Blvd., 92124",Joint Use Hours,Daily,City of San Diego,
La Jolla Recreation Center,"615 Prospect Street, 92037",24 hrs.,Daily,City of San Diego,
Del Sur Comfort Station,"Paseo Montenero & Old Stonefield Chase, 92127",24 hrs.,Daily,City of San Diego,
Dennis V. Allen Comfort Station,"800 Boundary St., 92102",24 hrs.,Daily,City of San Diego,
Dorothy Petway Comfort Station,"1367 Rigel St., 92113",24 hrs.,Daily,City of San Diego,
Lopez Ridge Recreation Center,"7245 Calle Cristobal, 92126",Rec. Center Hours,Daily,City of San Diego,
Doyle Community Park Comfort Station #1,"3950 Berino Court, 92122",24 hrs.,Daily,City of San Diego,
Doyle Community Park Comfort Station #2,"3950 Berino Court, 92122",24 hrs.,Daily,City of San Diego,
Doyle Community Park Recreation Center,"3950 Berino Court, 92122",Rec. Center Hours,Daily,City of San Diego,
Dusty Rhodes Comfort Station,"2500 Sunset Cliffs Blvd.,92107",8:00am - Dusk,Daily,City of San Diego,
Memorial Pool,"2902 Marcy Ave., 92113",Aquatic Center Hours,Daily,City of San Diego,
Mid-City Gymnasium,"4302 Landis St., 92105",Rec. Center Hours,Daily,City of San Diego,
East Clairemont Athletic Area Comfort Station,"3451 Mt. Acadia Boulevard, 92111",24 hrs.,Daily,City of San Diego,
Mira Mesa Comfort Station,"8575 New Salem Street, 92126",24 hrs.,Daily,City of San Diego,
Mira Mesa Gil Johnson Recreation Center,"8575 New Salem Street, 92126",Rec. Center Hours,Daily,City of San Diego,
Elizabeth Rabbitt Comfort Station,"6622 Duck Pond Lane, 92130",24 hrs.,Daily,City of San Diego,
Miramar Overlook Comfort Station,"11417 Scripps Ranch Blvd, 92131",7:00am - Dusk,Daily,City of San Diego,
Ellen Browning Scripps (La Jolla Cove) Comfort Station,"1146 Coast Blvd., 92037",24 hrs.,2x/day,City of San Diego,
Mission Bay Golf Clubhouse,"2702 N. Mission Bay Dr., 92109",Clubhouse Hours,2x/day,City of San Diego,
Emerald Hills Comfort Station,"1501 Kelton Road, 92114",24 hrs.,Daily,City of San Diego,
Encanto Comfort Station,"6508 Wunderlin Ave., 92114",24 hrs.,Daily,City of San Diego,
Encanto Recreation Center,"6508 Wunderlin Ave., 92114",Rec. Center Hours,Daily,City of San Diego,
Encanto Teen Center,"6508 Wunderlin Ave., 92114",Teen Center Hours,Daily,City of San Diego,
Mission Bay Park - Fiesta Island Youth Camp Comfort Station,"1750 Fiesta Island Rd, 92109",24 hrs.,2x/day,City of San Diego,
,Mission Bay Park - Robb Field Jim Howard Hall,"2525 Bacon Street, 92107",Building Hours,2x/day,City of San Diego
Mission Bay Park - Robb Field Recreation Center,"2525 Bacon Street, 92107",Rec. Center Hours,2x/day,City of San Diego,
Mission Bay Park - Robb Field Restroom #1,"2525 Bacon Street, 92107",During Field Use,2x/day,City of San Diego,
Mission Bay Park - Robb Field Restroom #2,"2525 Bacon Street, 92107",8:00am - Dusk,2x/day,City of San Diego,
Faultline Park,14th Street and Island Avenue,6:00am - 9:00pm,Daily,City of San Diego,
Mission Beach Park/Belmont Park - Ocean Front Walk at South Parking Lot Comfort Station,"3146 Mission Blvd, San Diego, CA 92109",24 hrs.,2x/day,City of San Diego,
Mission Beach Park/Belmont Park - Ocean Front Walk/Ventura Place Comfort Station,"3146 Mission Blvd, San Diego, CA 92109",24 hrs.,2x/day,City of San Diego,
Golden Hill Comfort Station #1,"27th St. & Russ Blvd., 92102",24 hrs.,Daily,City of San Diego,
Golden Hill Recreation Center,2600 Golf Course Dr. 92102,Rec. Center Hours,Daily,City of San Diego,
Grant Hill Portable Restroom,"2632 J St, 92102",24 hrs.,Daily,City of San Diego,
Highland Ranch Comfort Station,"12140 Eastbourne Road, 92128",24 hrs.,Daily,City of San Diego,
North Clairemont Recreation Center,"4421 Bannock Avenue, 92117",Rec. Center Hours,Daily,City of San Diego,
North Park Comfort Station,"4044 Idaho St., 92104",24 hrs.,Daily,City of San Diego,
Hilltop Recreation Center,"14000 McEntee St., 92129",Rec. Center Hours,Daily,City of San Diego,
North Park Recreation Center,"4044 Idaho St., 92104",Rec. Center Hours,Daily,City of San Diego,
Hollywood Comfort Station,"2301 Shamrock St., 92105",24 hrs.,Daily,City of San Diego,
Ocean Air Comfort Station,"4770 Fairport Ave, 92130",24 hrs.,Daily,City of San Diego,
Ocean Air Recreation Center,"4770 Fairport Ave, 92130",Rec. Center Hours,Daily,City of San Diego,
Jerabek Comfort Station,"10150 Avenida Magnifica, 92131",24 hrs.,Daily,City of San Diego,
Otay Valley Regional Park Ranger Station,"2155 Beyer Boulevard, 92154",8:00am - 5:00pm,Daily,City of San Diego,
John F. Kennedy Comfort Station,"4825 Ocean View Bl., 92113",24 hrs.,Daily,City of San Diego,
Pacific Beach Recreation Center,"1405 Diamond Street, 92109",Rec. Center Hours,Daily,City of San Diego,
Kate Sessions Memorial Comfort Station,"5115 Soledad Road, 92109",24 hrs.,Daily,City of San Diego,
Pacific Highlands Ranch Community Park Comfort Station,"5977 Village Center Loop Road, 92130",24 hrs.,Daily,City of San Diego,
Kearny Mesa Comfort Station #1,"3170 Armstrong Street, 92111",24 hrs.,Daily,City of San Diego,
Kearny Mesa Comfort Station #2,"3170 Armstrong Street, 92111",24 hrs.,Daily,City of San Diego,
Kearny Mesa Pool,"3170 Armstrong Street, 92111",Aquatic Center Hours,Daily,City of San Diego,
Kearny Mesa Recreation Center,"3170 Armstrong Street, 92111",Rec. Center Hours,Daily,City of San Diego,
Paradise Hills Comfort Station,"6610 Potomac St., 92139",24 hrs.,Daily,City of San Diego,
Paradise Hills Recreation Center,"6610 Potomac St., 92139",Rec. Center Hours,Daily,City of San Diego,
Keiller Comfort Station,"7400 Lisbon St., 92114",24 hrs.,Daily,City of San Diego,
Penn Athletic Field Recreation Center (School of Creative and Performing Arts),"2425 Dusk Ave., 92139",Rec. Center Hours,Daily,City of San Diego,
Kellogg (La Jolla Shores) Comfort Station North,"8300 Camino Del Oro, 92037",24 hrs.,2x/day,City of San Diego,
Kellogg (La Jolla Shores) Comfort Station South,"8300 Camino Del Oro, 92037",24 hrs.,2x/day,City of San Diego,
Kelly Street Comfort Station,"6640 Kelly Street, 92111",24 hrs.,Daily,City of San Diego,
Lake Murray Comfort Station,"7051 Murray Park Drive, 92120",Sunrise to Sunset,Daily,City of San Diego,
Lakeview Comfort Station,"10788 Mira Lago Trail, 92131",7:00am - Dusk,Daily,City of San Diego,
Linda Vista Comfort Station,"6842 Osler St, 92111",9:00am - 9:00pm,Daily,City of San Diego,
Linda Vista Gymnasium,"6842 Osler St, 92111",Gym Hours,Daily,City of San Diego,
Linda Vista Recreation Center,"7064 Levant St., 92111",Rec. Center Hours,Daily,City of San Diego,
Lindbergh Comfort Station,"4141 Ashford Street, 92111",24 hrs.,Daily,City of San Diego,
San Ysidro Community Center (Casa Familiar),"247 E Park Ave., 92173",Rec. Center Hours,Daily,City of San Diego,
Marie Widman Memorial Comfort Station,"6727 Imperial Ave., 92114",24 hrs.,Daily,City of San Diego,
Marshall Middle School Comfort Station,"9700 Avenue of Nations, 92131",Joint Use Hours,Daily,City of San Diego,
Serra Mesa Recreation Center,"9020 Village Glen Drive, 92123",Rec. Center Hours,Daily,City of San Diego,
"Martin Luther King, Jr. Comfort Station","6407 Skyline Dr., 92114",24 hrs.,Daily,City of San Diego,
"Martin Luther King, Jr. Pool","6407 Skyline Dr., 92114",Aquatic Center Hours,Daily,City of San Diego,
Skyline Hills Comfort Station,"8285 Skyline Dr., 92114",Rec. Center Hours,Daily,City of San Diego,
Skyline Hills Recreation Center,"8285 Skyline Dr., 92114",Rec. Center Hours,Daily,City of San Diego,
"Martin Luther King, Jr. Recreation Center","6407 Skyline Dr., 92114",Rec. Center Hours,Daily,City of San Diego,
Memorial Comfort Station,"2947 Ocean View Blvd., 92113",24 hrs.,Daily,City of San Diego,
Memorial Dolores Magdaleno Recreation Center,"2947 Ocean View Blvd., 92113",Rec. Center Hours,Daily,City of San Diego,
South Creek Comfort Station,"12245 Wickerbay Cove, 92128",24 hrs.,Daily,City of San Diego,
Mira Mesa Comfort Station,"8460 Mira Mesa Blvd., 92126",Senior Center Hours,Daily,City of San Diego,
South Village Comfort Station,"9353 Oviedo Street, 92129",24 hrs.,Daily,City of San Diego,
Mission Bay Athletic Area/Bob McEvoy Field Comfort Station,"2697 Grand Ave., 92109",24 hrs.,Daily,City of San Diego,
Stockton Recreation Center – King Chavez Elementary School,"415 31st St., 92102",Rec. Center Hours,Daily,City of San Diego,
Mission Bay Park - Bonita Cove East Comfort Station,"1100 W Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Swanson Pool,"3585 Governor Dr., 92122",Aquatic Center Hours,Daily,City of San Diego,
Mission Bay Park - Bonita Cove West Comfort Station,"1100 W Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Hospitality Point Comfort Station,"2536 Quivira Ct, 92109",24 hrs.,2x/day,City of San Diego,
East Village Green - 1330 G Street Portable Restroom,"1330 G Street, 92101",24 hrs.,3x/day Temp,City of San Diego,
16th Street and Imperial Avenue Portable Restrooms,"101 16th Street, 92101",24 hrs.,3x/day Temp,City of San Diego,
City Adminstration Building,"202 C Street, 92101",24 hrs.,6x/day,City of San Diego,
Mission Bay Park - Mission Point Comfort Station,"2600 Bayside Ln, 92109",24 hrs.,2x/day,City of San Diego,
Park de la Cruz Community Center,"3901 Landis St, 92105",Rec. Center Hours,Daily,City of San Diego,
Park de la Cruz Gymnasium,"3901 Landis St, 92105",Rec. Center Hours,Daily,City of San Diego,
Old San Ysidro Library,"101 West San Ysidro Blvd, 92173",Rec. Center Hours,Daily,City of San Diego,
Tierrasanta Pool,"11238 Clairemont Mesa Bl., 92124",Aquatic Center Hours,Daily,City of San Diego,
Torrey Hills Comfort Station,"4262 Calle Mejillones, 92130",24 hrs.,Daily,City of San Diego,
Mission Bay Park - Santa Clara Point North Comfort Station,"1008 Santa Clara Pl., 92109",24 hrs.,2x/day,City of San Diego,
Vista Pacifica Comfort Station,"6066 Avenida de las Vistas, 92154",24 hrs.,Daily,City of San Diego,
Mission Bay Park - Playa Pacific 1 Comfort Station,"1093 E Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Vista Terrace Comfort Station,"301 Athey Ave., 92173",24 hrs.,Daily,City of San Diego,
Vista Terrace Pool,"301 Athey Ave., 92173",Aquatic Center Hours,Daily,City of San Diego,
Mission Bay Park - Playa Pacific 2 Comfort Station,"1093 E Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Wegeforth Elementary School Comfort Station,"3443 Ediwhar Ave., 92123",During joint use hours,Daily,City of San Diego,
Mission Bay Park - Playa Pacific 3 Comfort Station,"1093 E Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Robb Field Restroom #3,"W. Pt. Loma Blvd. & Bacon St., 92107",8:00am - Dusk,2x/day,City of San Diego,
Mission Bay Park - Santa Clara Recreation Center,"1008 Santa Clara Pl., 92109",Rec. Center Hours,2x/day,City of San Diego,
Mission Bay Park - Sunset Point Comfort Station,"1400 Dana Landing Rd, 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Tecolote North Comfort Station,"1740 E Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Tecolote South Comfort Station,"1740 E Mission Bay Dr, 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Ventura Point Comfort Station,"3211 Gleason Road, 92109",24 hrs.,2x/day,City of San Diego,
Mission Hills Comfort Station,"1586 Washington Place, 92103",24 hrs.,2x/day,City of San Diego,
Mission Trails Cowles Mountain Comfort Station,"7001 Golfcrest Drive, 92119",24 hrs.,Daily,City of San Diego,
Mountain View Comfort Station,"551 S. 40th St., 92113",24 hrs.,Daily,City of San Diego,
Mountain View Recreation Center,"551 S. 40th St., 92113",Rec. Center Hours,Daily,City of San Diego,
Mt. Acadia Comfort Station,"3865 Mt Acadia Boulevard, 92111",24 hrs.,Daily,City of San Diego,
Mt. Etna Comfort Station,"4741 Mt Etna Drive, 92117",24 hrs.,Daily,City of San Diego,
Naval Training Center Comfort Station #1,"Cushing Rd. & Rosevelt, 92106",Sunrise to Sunset,Daily,City of San Diego,
Naval Training Center Comfort Station #2,"Cushing Rd. & Farragut St., 92106",Sunrise to Sunset,Daily,City of San Diego,
Naval Training Center Comfort Station #3,"2775 1/3 Cushing Rd., 92106",Sunrise to Sunset,Daily,City of San Diego,
North Park Adult Center,2719 Howard Avenue,Adult Center Hours,Daily,City of San Diego,
Ocean Beach Recreation Center,"1984 Ebers St., 92107",Rec. Center Hours,Daily,City of San Diego,
Olive Grove Comfort Station,"6075 Printwood Way, 92117",24 hrs.,Daily,City of San Diego,
Palm Ridge Comfort Station,"751 Firethorn St., 92154",24 hrs.,Daily,City of San Diego,
Peñasquitos Skate Park Restroom,"10129 Carmel Mountain Rd., 92129",Skate Park Hours,Daily,City of San Diego,
Presidio Park Recreation Center,"2811 Jackson St., 92110",Rec. Center Hours,2x/day,City of San Diego,
Rancho Bernardo Comfort Station #1,"18448 W Bernardo Drive, 92127",24 hrs.,Daily,City of San Diego,
Rancho Bernardo Comfort Station #2,"18448 W Bernardo Drive, 92127",24 hrs.,Daily,City of San Diego,
Rancho Bernardo Ed Brown Senior Center,"18402 W Bernardo Drive, 92127",Senior Center Hours,Daily,City of San Diego,
Rancho Bernardo Recreation Center,"18448 W Bernardo Drive, 92127",Rec. Center Hours,Daily,City of San Diego,
Robert Egger-South Bay Recreation Center,"1885 Coronado Ave., 92154",Rec. Center Hours,Daily,City of San Diego,
Sabre Springs Comfort Station,"12953 Sabre Springs Parkway, 92128",24 hrs.,Daily,City of San Diego,
Sage Canyon Comfort Station,"5252 Harvest Run Drive, 92130",24 hrs.,Daily,City of San Diego,
Scripps-Miramar Ranch Comfort Station,"11424 Blue Cypress Dr., 92131",24 hrs.,Daily,City of San Diego,
Scripps-Miramar Ranch Recreation Center,"11424 Blue Cypress Dr., 92131",Rec. Center Hours,Daily,City of San Diego,
Sefton Fields Portable Restroom,"2508 Hotel Circle Place, 92108",During field use,Daily,City of San Diego,
Silver Wing Comfort Station,"3737 Arey Dr. , 92154",24 hrs.,Daily,City of San Diego,
Silver Wing Recreation Center,"3737 Arey Dr. , 92154",Rec. Center Hours,Daily,City of San Diego,
Solana Ranch Park Comfort Station,13605 Pacific Highlands Ranch Pkwy 92130,24 hrs.,Daily,City of San Diego,
South Clairemont Recreation Center,"3577 Clairemont Dr., 92117",Rec. Center Hours,Daily,City of San Diego,
Southcrest Comfort Station,"1297 S 40th St, 92113",24 hrs.,Daily,City of San Diego,
Southcrest Recreation Center,"1297 S 40th St, 92113",Rec. Center Hours,Daily,City of San Diego,
Southcrest Teen Center,"1297 S 40th St, 92113",Teen Center Hours,Daily,City of San Diego,
Spring Canyon Comfort Station,"11157 Scripps Poway Pkwy., 92131",24 hrs.,Daily,City of San Diego,
Standley Recreation Center,"3547 Governor Dr., 92122",Rec. Center Hours,Daily,City of San Diego,
Stonebridge Comfort Station,15030 Sycamore Trail Road,24 hrs.,Daily,City of San Diego,
Sunshine Berardini Field Comfort Station,"4416 Federal Blvd., 92102",Little League Hours,Daily,City of San Diego,
Sycamore Canyon Comfort Station,13745 Stonebridge Pkwy.,24 hrs.,Daily,City of San Diego,
Tecolote Comfort Station,"1701 Tecolote Rd., 92110",24 hrs.,Daily,City of San Diego,
Tecolote Recreation Center,"1701 Tecolote Rd., 92110",Rec. Center Hours,Daily,City of San Diego,
Teralta Comfort Station,"4100 Central Ave., 92105",24 hrs.,Daily,City of San Diego,
Tierrasanta Comfort Station,"11220 Clairemont Mesa Bl., 92124",24 hrs.,Daily,City of San Diego,
Willie Henderson Sports Complex Portable Restroom,"1092 S 45th Street, 92113",24 hrs.,Daily,City of San Diego,
Willie Henderson Sports Complex Recreation Center,"1092 S 45th Street, 92113",24 hrs.,Daily,City of San Diego,
Gaslamp Square Park (Tin Fish Restaurant),"170 Sixth Avenue, 92101",6:00am - 9:00pm,6x/day,City of San Diego,
Tecolote Nature Center,"5180 Tecolote Rd, 92110",7:30am - 3:30pm,2x/day,City of San Diego,
Horton Plaza Park,"900 Fourth Ave, 92101",Temporarily Closed,Daily,City of San Diego,
Civita Central Park - South,"7960 Civita Blvd, 92108",24 hrs.,Daily,City of San Diego,
Civita Central Park - North,"7960 Civita Blvd, 92108",24 hrs.,Daily,City of San Diego,
Tierrasanta Hex Building,"11220 Clairemont Mesa Bl., 92124",Building Hours,Daily,City of San Diego,
Tierrasanta Recreation Center,"11220 Clairemont Mesa Bl., 92124",Rec. Center Hours,Daily,City of San Diego,
Torrey Highlands Comfort Station,"4450 Lansdale Dr., 92130",24 hrs.,Daily,City of San Diego,
Torrey Pines Golf Clubhouse,"11480 N. Torrey Pines Rd., 92037",Clubhouse Hours,Daily,City of San Diego,
Tourmaline Surfing Beach Restroom,"601 Tourmaline Street, 92109",24 hrs.,2x/day,City of San Diego,
University Gardens Comfort Station,"6431 Gullstrand Street, 92122",24 hrs.,Daily,City of San Diego,
Views West Comfort Station,"12904 La Tortola, 92129",24 hrs.,Daily,City of San Diego,
Ward Canyon Comfort Station,"4642 40th Street, 92116",24 hrs.,Daily,City of San Diego,
Westview Comfort Station,"11278 Westview Parkway, 92126",24 hrs.,Daily,City of San Diego,
Windansea Beach Portable Restroom,"6950 Neptune Place, 92037",24 hrs.,Daily,City of San Diego,
Balboa Park - Frisbee Golf Course Comfort Station,"3090 Pershing Drive, 92104",24 hrs.,2x/day,City of San Diego,
La Jolla Athletic Area Portable Restroom,"4636 Torrey Pines Road, 92130",During field use,Daily,City of San Diego,
Mission Bay Park - Bahia Comfort Station,"Gleason Road, 92109",24 hrs.,2x/day,City of San Diego,
Mount Hope Cemetery Main Office,"3700 Imperial Ave, 92113",8:00am - 3:30pm Mon-Fri 8:00am - 4:00pm Weekends,Daily,City of San Diego,
Nobel Athletic Area Comfort Station,"8810 Judicial Drive, 92121",24 hrs.,Daily,City of San Diego,
Nobel Recreation Center,"8810 Judicial Drive, 92121",Rec. Center Hours,Daily,City of San Diego,
Ocean Beach Park - Abbott Street / Santa Monica Avenue Comfort Station,At OB Lifeguard Tower,24 hrs.,2x/day,City of San Diego,
Ocean Beach Park - Brighton Avenue / Spray Street Comfort Station,"End of Brighton Ave, 92107",24 hrs.,2x/day,City of San Diego,
Ocean Beach Park - Niagara Avenue Comfort Station,Niagara Avenue,24 hrs.,2x/day,City of San Diego,
Pacific Beach Drive (between Ocean Front Walk and Mission Boulevard) Comfort Station,Ocean Front Walk and Mission Boulevard,24 hrs.,2x/day,City of San Diego,
Pacific Beach Park - Ocean Front Walk / Diamond Street Comfort Station,Ocean Front Walk and Diamond Street,24 hrs.,2x/day,City of San Diego,
Pacific Beach Park - Ocean Front Walk / Grand Avenue Comfort Station,Ocean Front Walk and Grand Avenue,24 hrs.,2x/day,City of San Diego,
Pacific Beach Park - Palisades - Ocean Front Walk / Law Street Comfort Station,Ocean Front Walk and Law Street,24 hrs.,2x/day,City of San Diego,
Presidio Park - Cosoy Way Comfort Station,Cosoy Way,24 hrs.,Daily,City of San Diego,
Presidio Park - Palm Canyon Comfort Station,Off Taylor Street at Palm Canyon Entrance,24 hrs.,2x/day,City of San Diego,
Solana Highlands Elementary Comfort Station,"3894 Long Run Dr., 92130",Joint Use Hours,Daily,City of San Diego,
Solana Ranch Comfort Station,"13597 Pacific Highlands Pkwy., 92130",24 hrs.,Daily,City of San Diego,
South Mission Beach - Ocean Front Walk / North Jetty Road Comfort Station,Ocean Front Walk / North Jetty Road,24 hrs.,2x/day,City of San Diego,
Sunset Cliffs Natural Park Portable Restroom,"Ladera St. Parking Lot, 92106",24 hrs.,2x/day,City of San Diego,
Torrey Meadows Comfort Station,"13516 Torrey Meadows Dr., 92129",24 hrs.,Daily,City of San Diego,
Mission Bay Park - Fanuel Park Comfort Station,South End of Fanuel Street at Bayside Walk,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - El Carmel Comfort Station,End of El Carmel Place,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - North Cove Comfort Station,North end of frontage road next to Ingraham Street,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - De Anza North Comfort Station,"3000 N Mission Bay Dr, San Diego, CA 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - South Shores Comfort Station,"S Shores Park Driveway, 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Vacation Isle West Comfort Station,West of Model Yacht Pond and south of Paradise Point,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - De Anza South Comfort Station,"3000 N Mission Bay Dr, San Diego, CA 92109",24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Ski Beach Middle Comfort Station,East side of Ingraham Street near Ski Beach parking lot,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Ski Beach South Comfort Station,East side of Ingraham Street near Ski Beach parking lot,24 hrs.,2x/day,City of San Diego,
Mission Bay Park - Ski Beach North Comfort Station,East side of Ingraham Street near Ski Beach parking lot,24 hrs.,2x/day,City of San Diego,
Mission Trails Regional Park East Fortuna Staging Area Comfort Station,Equestrian Circle,24 hrs.,Daily,City of San Diego,
Mission Trails Regional Park Visitors Center,"1 Father Junipero Serra Trail, 92119",Visitor Center Hours,Daily,City of San Diego,
Mission Trails Regional Park Kumeyaay Campground,"2 Father Junipero Serra Trail, 92119",24 hrs.,Daily,City of San Diego,
Montgomery-Waller Comfort Station,"3020 Coronado Ave., 92154",24 hrs.,Daily,City of San Diego,
